Crime ID,Month,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
694a92a6bd5700700a775ca5edd0d42146e0843aaa5c1b18248d615aa62f744a,2014-02,-2.533942,51.484857,On or near Sports/Recreation Area,E01014588,Bristol 013A,Drugs,Offender given a drugs possession warning
1f3d4883f0d8d229830b05bd53a9e55d1d5e2add79bc91393bc08ac9568392bc,2014-02,-2.530675,51.480062,On or near Hinton Road,E01014588,Bristol 013A,Drugs,Offender given a drugs possession warning
a6f18ea83aec4a461619fc81a219d7b450407381507c68a6c302225fe04711a6,2014-02,-2.525828,51.481864,On or near Vassall Court,E01014590,Bristol 013C,Drugs,Offender fined
5ae59da7ad9c79c902e3b8203f665dd9eb388938d9271b5aab9ce2ef8dd1c7ec,2014-02,-2.563277,51.491797,On or near Branwhite Close,E01014660,Bristol 014A,Drugs,Offender given penalty notice
30f8e00a60af920edc415f63d624dcf32bfe97720d7717cfc610d08e90e89b6b,2014-02,-2.563277,51.491797,On or near Branwhite Close,E01014660,Bristol 014A,Drugs,Offender given a caution
322119b2639ad3c7c9abb5e87ebcbff9490afbe7dd4933c2fd985e5dc6bfae08,2014-02,-2.564426,51.486891,On or near Romney Avenue,E01014663,Bristol 014B,Drugs,Offender given community sentence
5904eb6c5646ef415d867d5005825d359d4b993a55e8c02a6280a22747e112ef,2014-02,-2.567869,51.476498,On or near Tackley Road,E01014665,Bristol 014D,Drugs,Offender given penalty notice
85f3cddd8d8b827c957882ec907de65fc1ba8f1633d3088c0f4590f1676a4a88,2014-02,-2.512067,51.470775,On or near Norman Grove,E01014624,Bristol 018A,Drugs,Offender given a caution
a8757e2531d45f9d78f4975f3343fa3eb3d9e43b626a455630190f2530593b35,2014-02,-2.543271,51.476093,On or near Hawkesbury Road,E01014572,Bristol 019A,Drugs,Offender given community sentence
2a4ba4612cf692c89bdcf3b9d6e4689aec49fb3732ed8c7f682f8025458a2ec4,2014-02,-2.557471,51.473994,On or near Petrol Station,E01014575,Bristol 019C,Drugs,Offender fined
349aa09ddbf39957b38fc8819383e374307c737492e985bdc3cd110d7210dfd3,2014-02,-2.524735,51.473192,On or near Charminster Road,E01014622,Bristol 021A,Drugs,Offender sent to prison
bdbe4450eada23c4824eb0172f85d274ea23bbfd64247b8d9ff538e61f14a84a,2014-02,-2.531862,51.469464,On or near Dean'S Drive,E01014626,Bristol 021C,Drugs,Investigation complete; no suspect identified
48cede6737eec3265af5ce292d315c9b25a522bd273572863e2d80740ea5db6a,2014-02,-2.608315,51.463509,On or near Hampton Lane,E01014558,Bristol 022B,Drugs,Offender given a drugs possession warning
634bc215f603af307ea4c048e38fe2c28c1d42fa2bf5130a737f86e67a7edfd4,2014-02,-2.607899,51.465777,On or near Hampton Park,E01014560,Bristol 022D,Drugs,Court result unavailable
53a7c50dde349c97eb515adf6424e48f2715bdcc52fa65ad5bd318695c3b2a24,2014-02,-2.58027,51.466537,On or near Ashfield Place,E01014486,Bristol 023B,Drugs,Offender given a caution
919790df65f6b909a811e7b3c545adceb3b1bc66cd9c449177d8f41a4d7be778,2014-02,-2.588747,51.465272,On or near Picton Street,E01014489,Bristol 023D,Drugs,Offender given community sentence
79a6444964728d1a6c892618b01765aabb33aff5f69917d2589dd118782775a6,2014-02,-2.588747,51.465272,On or near Picton Street,E01014489,Bristol 023D,Drugs,Offender given a caution
c4448082fa5c811be774f9acee85800086ae9565dfff152b5d0481fcd0bf0c2d,2014-02,-2.587105,51.464129,On or near Gwyn Street,E01033348,Bristol 023G,Drugs,Offender given a caution
1893392d184a512d9ae8717ff784135a22ee9dbbf4334a2f68a29c8b63109e25,2014-02,-2.586288,51.457659,On or near Penn Street,E01033342,Bristol 025E,Drugs,Offender given a drugs possession warning
bd97e7da73e0eaf48386c52032a2498a5b5c55d0932397c4d389ec6674e0ee81,2014-02,-2.61192,51.460756,On or near Oakfield Road,E01014552,Bristol 026B,Drugs,Offender given a caution
08be4d79b9f7ac4217ee6f2284ef136d9923c694bff4f22152e238f2f460ab9e,2014-02,-2.607963,51.456506,On or near Triangle West,E01014554,Bristol 026D,Drugs,Offender given a caution
9a13afd2890f07f7d03944e313f038b9f6322ebb89f572b0c3ddb2564763ddf2,2014-02,-2.515771,51.464789,On or near Broad Road,E01014673,Bristol 027A,Drugs,Investigation complete; no suspect identified
45d1ec908e5f48502b090ac9e9d6690282299ff4c2b6f7831ffab75f582cc32e,2014-02,-2.538806,51.45885,On or near Diamond Road,E01014683,Bristol 028B,Drugs,Court result unavailable
d79302cc112ef796d2814277d0eb31b5a3f58c71ce76216e1e7269d8546f9a5d,2014-02,-2.528735,51.461737,On or near Brockhurst Gardens,E01014687,Bristol 028E,Drugs,Court result unavailable
f0416f558e4094fac17b62060dcbb8564cc19da888665f8f656f7f95665e98b5,2014-02,-2.550275,51.463472,On or near Stretford Road,E01014681,Bristol 029D,Drugs,Court result unavailable
0f077e0b3b9332c6c21d101d57de07cf443920bc90114468b23558fa19f37410,2014-02,-2.618524,51.45521,On or near Boyce'S Avenue,E01014545,Bristol 030B,Drugs,Offender given a drugs possession warning
c76c3f45154bae69177fb9e13633c7cbf7a2bf9a78be606a467376c27f84f47f,2014-02,-2.605789,51.460788,On or near Tyndall'S Park Road,E01014538,Bristol 032A,Drugs,Offender given a drugs possession warning
5352267c0b719f45fa00a2ce9cfc2806023a517c91b10ddada52039ee393fa69,2014-02,-2.592148,51.456659,On or near Nightclub,E01014540,Bristol 032B,Drugs,Offender given a drugs possession warning
e3d946a5f01719f383630c024a798d9bdb73ebb19d8f49c6f2cb3d87187bafb2,2014-02,-2.596865,51.45088,On or near Assembly Rooms Lane,E01014540,Bristol 032B,Drugs,Offender given a caution
109ced3c2d690347de9fa59f2ce183a8a059aea38c0b4fca048a7b03ebdfb332,2014-02,-2.592415,51.457269,On or near Silver Street,E01014540,Bristol 032B,Drugs,Offender given penalty notice
2cd8ccfd65300796c74a9910e6f59c5a279aa0219ca660c2eed7bde9ede1de0b,2014-02,-2.596865,51.45088,On or near Assembly Rooms Lane,E01014540,Bristol 032B,Drugs,Court result unavailable
dd8b4d5a11e8f3000551e797d1b5d1b52bf24a80c984e3ad0d82cee63d1ecaf1,2014-02,-2.592148,51.456659,On or near Nightclub,E01014540,Bristol 032B,Drugs,Offender given a caution
